;RTLF
532;1
533;1
534;1
535;0
536;0
537;1
538;1
539;1
540;1
541;1
542;1
543;0
544;1
545;1
546;1
547;1
548;1
549;1
550;1
551;1
552;0
553;1
554;0
555;1
556;1
557;1
558;1
559;1
560;1
561;1
562;1
563;1
564;0
565;1
566;1
567;1
568;1
569;1
570;1
571;0
572;0
573;1
574;1
575;1
576;1
577;0
578;0
579;0
580;0
581;0
582;1
583;1
584;1
585;0
586;0
587;0
588;1
589;1
590;1
591;1
592;0
593;1
594;1
595;1
596;1
597;1
598;1
599;1
600;0
601;1
602;0
603;1
604;1
605;0
606;0
607;0
608;0
609;1
610;1
611;1
612;0
613;1
614;0
615;0
616;0
617;0
618;0
619;0
620;0
621;0
622;0
623;0
624;1
625;1
626;1
627;1
628;1
629;1
630;1
631;1
632;1
633;1
634;1
635;0
636;1
637;1
638;1
639;1
640;1
641;1
642;0
643;0
644;0
645;1
646;1
647;1
648;1
649;1
650;0
651;1
652;0
653;0
654;0
655;0
656;0
657;0
658;0
659;0
660;1
661;1
662;1
663;1
664;1
665;1
666;0
667;1
668;1
669;1
670;0
671;0
672;0
673;1
674;1
675;0
676;0
677;0
678;0
679;0
680;0
681;0
682;0
683;0
684;0
685;0
686;0
687;0
688;0
689;0
690;0
691;0
692;0
693;0
694;0
695;0
696;0
697;0
698;0
699;0
700;0
701;0
702;0
703;0
704;0
705;0
706;0
707;0
708;0
709;0
710;0
711;0
712;0
713;0
714;0
715;0
716;0
717;0
718;0
719;0
720;0
721;0
722;0
723;0
724;0
725;0
726;0
727;0
728;0
729;0
730;0
731;0
732;0
733;0
734;0
735;0
736;0
737;0
738;0
739;0
740;0
741;0
742;0
743;0
744;0
745;0
746;0
747;0
748;0
749;0
